date,ge4,ge12,ge25,ge50,ge100,ge150,ge200,ge250,ge300
2004-03-12,382643,302932,233239,161350,91805,52493,23485,15685,11272
2004-03-19,383565,303328,233991,162125,92205,52885,23604,15760,11329
2004-03-26,384693,304115,234838,162663,92558,53210,23782,15822,11412
2004-04-02,385991,304890,235730,163182,92945,53530,23934,15878,11468
2004-04-09,387145,305785,236662,164217,93317,53889,24015,15949,11521
2004-04-16,388131,306473,237672,166160,93760,54250,24155,16024,11563
2004-04-23,389132,307220,238441,168399,94137,54568,24263,16064,11605
2004-04-30,391175,308141,239183,169055,94499,55040,24381,16130,11647
2004-05-07,393424,309006,240005,169671,94968,55427,24547,16185,11691
2004-05-14,394271,310059,240748,170209,95429,55758,24653,16241,11743
2004-05-21,395352,311254,241701,170873,95830,56080,24802,16302,11782
2004-05-28,396714,312343,242886,171446,96234,56471,24936,16349,11833
2004-06-04,397461,313246,244064,171970,96653,56812,25095,16404,11872
2004-06-11,398217,314137,244425,172676,97111,57162,25226,16475,11910
2004-06-18,399162,316090,245139,173309,97533,57489,25361,16522,11946
2004-06-25,400250,318176,245841,173827,97955,57780,25510,16575,11996
2004-07-02,401502,318957,246690,174344,98380,58131,25668,16656,12146
2004-07-09,403171,319889,247374,175747,98770,58452,25809,16715,12210
2004-07-16,404064,321154,248099,176331,99077,58800,25933,16793,12243
2004-07-23,405118,321868,248940,176904,99467,59137,26055,16845,12289
2004-07-30,406090,322639,249748,177442,99982,59468,26180,16905,12349
2004-08-06,408540,323579,250520,177937,100448,59842,26336,16968,12403
2004-08-13,411885,324660,251342,178554,101258,60139,26477,17046,12472
2004-08-20,412614,325696,252338,179345,101776,60584,26632,17134,12515
2004-08-27,413580,326753,253105,180190,102362,61013,26760,17196,12579
2004-09-03,414981,327525,253923,180795,103168,61425,26896,17246,12615
2004-09-10,415933,328480,255512,181541,103622,61747,27048,17284,12647
2004-09-17,416837,329446,256299,182217,104079,62133,27192,17344,12689
2004-09-24,418245,331915,257051,182938,104570,62479,27382,17435,12731
2004-10-01,419989,334952,257823,183803,104972,62812,27532,17504,12765
2004-10-08,420991,335624,258560,184481,105512,63072,27906,17618,12796
2004-10-15,422106,336598,259224,185093,106066,63254,31315,17697,12837
2004-10-22,423107,337982,259957,185772,106508,63500,31562,18005,12881
2004-10-29,424213,338886,260838,186411,106890,63746,31957,18387,12929
2004-11-05,425112,339702,261708,187280,107272,64101,32060,18459,12980
2004-11-12,426116,341115,262551,188091,107807,64531,32177,18520,13030
2004-11-19,427080,342745,263473,188609,108271,64981,32355,18602,13083
2004-11-26,428126,343706,264194,188964,108748,65348,33205,18695,13128
2004-12-03,429020,344786,265079,189642,109241,65732,34210,18799,13164
2004-12-10,429887,345731,265870,190213,109715,66131,34427,18894,13197
2004-12-17,431043,346687,268291,190941,110187,66509,39206,18980,13233
2004-12-24,432037,347459,271069,191560,110656,66837,39831,19040,13278
